room_id;room_type;city;borough;neighborhood;reviews;overall_satisfaction;accommodates;bedrooms;price;property_type
10117782;Shared room;Sao Paulo;SAO PAULO;Perdizes;0;0.0;4;1.0;15.0;Bed & Breakfast
4963610;Shared room;Sao Paulo;SAO PAULO;Perdizes;0;0.0;2;1.0;28.0;Apartment
9486772;Shared room;Sao Paulo;SAO PAULO;Perdizes;0;0.0;2;1.0;19.0;House
16545946;Shared room;Sao Paulo;SAO PAULO;Lapa;0;0.0;6;1.0;39.0;House
14930911;Shared room;Sao Paulo;SAO PAULO;Jardim Paulista;1;0.0;1;1.0;14.0;Apartment
19193487;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;1;1.0;22.0;Apartment
11567452;Shared room;Sao Paulo;SAO PAULO;Perdizes;3;5.0;5;1.0;12.0;House
17441431;Shared room;Sao Paulo;SAO PAULO;Saúde;0;0.0;1;1.0;14.0;Hostel
16737536;Shared room;Sao Paulo;SAO PAULO;Saúde;0;0.0;1;1.0;25.0;Hostel
12652965;Shared room;Sao Paulo;SAO PAULO;Sacomã;1;0.0;2;1.0;15.0;House
17808841;Shared room;Sao Paulo;SAO PAULO;Jabaquara;1;0.0;2;1.0;20.0;Apartment
14357384;Shared room;Sao Paulo;SAO PAULO;Jabaquara;3;5.0;8;1.0;25.0;Apartment
13864767;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;1;1.0;16.0;Bed & Breakfast
18528778;Shared room;Sao Paulo;SAO PAULO;Alto de Pinheiros;0;0.0;2;1.0;31.0;House
11392796;Shared room;Sao Paulo;SAO PAULO;Vila Mariana;5;4.5;4;1.0;11.0;Loft
17839872;Shared room;Sao Paulo;SAO PAULO;Vila Andrade;0;0.0;1;1.0;24.0;Apartment
17248696;Shared room;Sao Paulo;SAO PAULO;Moema;0;0.0;1;1.0;19.0;Hostel
17873909;Shared room;Sao Paulo;SAO PAULO;Campo Belo;1;0.0;12;1.0;12.0;House
13531390;Shared room;Sao Paulo;SAO PAULO;Campo Belo;4;4.0;1;1.0;15.0;Bed & Breakfast
19622975;Shared room;Sao Paulo;OSASCO;Osasco;0;0.0;2;1.0;15.0;Apartment
673278;Shared room;Sao Paulo;SAO PAULO;Vila Mariana;0;0.0;2;1.0;15.0;Apartment
18600523;Shared room;Sao Paulo;SAO PAULO;Tatuapé;0;0.0;9;1.0;14.0;Hostel
6120816;Shared room;Sao Paulo;SAO PAULO;Vila Mariana;0;0.0;3;1.0;28.0;Hostel
3833646;Shared room;Sao Paulo;SAO PAULO;Vila Mariana;0;0.0;1;1.0;15.0;Apartment
2378249;Shared room;Sao Paulo;SAO PAULO;Vila Matilde;3;4.0;1;1.0;8.0;House
14855360;Shared room;Sao Paulo;SAO PAULO;República;0;0.0;1;1.0;16.0;Apartment
17945457;Shared room;Sao Paulo;SAO PAULO;República;0;0.0;1;1.0;30.0;Apartment
18426951;Shared room;Sao Paulo;SAO PAULO;Bela Vista;1;0.0;1;1.0;9.0;Apartment
13451851;Shared room;Sao Paulo;SAO PAULO;Sé;0;0.0;1;1.0;22.0;Apartment
